e_rec,gammaFullNL,electronFullNL,positronFullNL
1.6800,1.707011,1.614716,1.774741
1.6900,1.716474,1.624157,1.784261
1.7000,1.725931,1.633640,1.793789
1.7100,1.735380,1.643081,1.803358
1.7200,1.744821,1.652560,1.812879
1.7300,1.754256,1.662007,1.822443
1.7400,1.763684,1.671455,1.831921
1.7500,1.773104,1.680935,1.841446
1.7600,1.782518,1.690378,1.850908
1.7700,1.791925,1.699864,1.860386
1.7800,1.801324,1.709324,1.869953
1.7900,1.810716,1.718813,1.879510
1.8000,1.820102,1.728289,1.889068
1.8100,1.829480,1.737751,1.898567
1.8200,1.838852,1.747254,1.908086
1.8300,1.848217,1.756718,1.917592
1.8400,1.857574,1.766222,1.927070
1.8500,1.866925,1.775686,1.936578
1.8600,1.876269,1.785165,1.946076
1.8700,1.885606,1.794655,1.955598
1.8800,1.894936,1.804119,1.965129
1.8900,1.904259,1.813622,1.974553
1.9000,1.913575,1.823086,1.984030
1.9100,1.922885,1.832583,1.993570
1.9200,1.932188,1.842053,2.003119
1.9300,1.941483,1.851521,2.012634
1.9400,1.950773,1.861023,2.022146
1.9500,1.960055,1.870488,2.031653
1.9600,1.969331,1.879993,2.041140
1.9700,1.978599,1.889459,2.050670
1.9800,1.987862,1.898947,2.060158
1.9900,1.997117,1.908413,2.069686
2.0000,2.006693,1.917858,2.079177
2.0100,2.016415,1.927346,2.088666
2.0200,2.026133,1.936792,2.098197
2.0300,2.035848,1.946280,2.107687
2.0400,2.045560,1.955726,2.117191
2.0500,2.055270,1.965187,2.126703
2.0600,2.064977,1.974662,2.136182
2.0700,2.074680,1.984110,2.145705
2.0800,2.084381,1.993599,2.155184
2.0900,2.094079,2.003053,2.164697
2.1000,2.103774,2.012552,2.174188
2.1100,2.113466,2.022022,2.183668
2.1200,2.123155,2.031491,2.193192
2.1300,2.132841,2.040993,2.202673
2.1400,2.142525,2.050459,2.212198
2.1500,2.152205,2.059965,2.221679
2.1600,2.161883,2.069432,2.231203
2.1700,2.171558,2.078921,2.240685
2.1800,2.181230,2.088406,2.250167
2.1900,2.190899,2.097874,2.259692
2.2000,2.200565,2.107382,2.269174
2.2100,2.210228,2.116850,2.278699
2.2200,2.219889,2.126359,2.288182
2.2300,2.229546,2.135828,2.297665
2.2400,2.239201,2.145308,2.307191
2.2500,2.248853,2.154808,2.316680
2.2600,2.258502,2.164278,2.326197
2.2700,2.268148,2.173788,2.335670
2.2800,2.277791,2.183260,2.345159
2.2900,2.287432,2.192759,2.354660
2.3000,2.297069,2.202243,2.364134
2.3100,2.306704,2.211717,2.373651
2.3200,2.316336,2.221231,2.383125
2.3300,2.325965,2.230706,2.392634
2.3400,2.335591,2.240221,2.402118
2.3500,2.345215,2.249697,2.411594
2.3600,2.354835,2.259187,2.421111
2.3700,2.364453,2.268689,2.430599
2.3800,2.374068,2.278166,2.440115
2.3900,2.383680,2.287682,2.449596
2.4000,2.393289,2.297160,2.459095
2.4100,2.402896,2.306668,2.468601
2.4200,2.412499,2.316155,2.478108
2.4300,2.422100,2.325634,2.487608
2.4400,2.431698,2.335152,2.497091
2.4500,2.441294,2.344632,2.506608
2.4600,2.450886,2.354150,2.516099
2.4700,2.460476,2.363631,2.525624
2.4800,2.470063,2.373127,2.535113
2.4900,2.479647,2.382631,2.544608
2.5000,2.489228,2.392113,2.554131
2.5100,2.498806,2.401631,2.563620
2.5200,2.508382,2.411101,2.573150
2.5300,2.517955,2.420603,2.582640
2.5400,2.527525,2.430080,2.592152
2.5500,2.537092,2.439552,2.601661
2.5600,2.546657,2.449061,2.611152
2.5700,2.556218,2.458532,2.620675
2.5800,2.565777,2.468043,2.630159
2.5900,2.575334,2.477515,2.639670
2.6000,2.584887,2.487007,2.649145
2.6100,2.594438,2.496500,2.658617
2.6200,2.603985,2.505973,2.668132
2.6300,2.613531,2.515485,2.677605
2.6400,2.623073,2.524959,2.687120
2.6500,2.632613,2.534470,2.696594
2.6600,2.642149,2.543947,2.706093
2.6700,2.651684,2.553428,2.715585
2.6800,2.661215,2.562937,2.725065
2.6900,2.670743,2.572412,2.734598
2.7000,2.680269,2.581927,2.744091
2.7100,2.689792,2.591404,2.753624
2.7200,2.699313,2.600904,2.763118
2.7300,2.708830,2.610408,2.772618
2.7400,2.718345,2.619897,2.782147
2.7500,2.727857,2.629424,2.791642
2.7600,2.737367,2.638913,2.801177
2.7700,2.746874,2.648439,2.810672
2.7800,2.756378,2.657931,2.820188
2.7900,2.765879,2.667427,2.829702
2.8000,2.775377,2.676950,2.839196
2.8100,2.784873,2.686441,2.848731
2.8200,2.794366,2.695970,2.858225
2.8300,2.803856,2.705462,2.867755
2.8400,2.813344,2.714974,2.877255
2.8500,2.822829,2.724485,2.886751
2.8600,2.832311,2.733978,2.896287
2.8700,2.841791,2.743509,2.905784
2.8800,2.851268,2.753003,2.915320
2.8900,2.860742,2.762530,2.924811
2.9000,2.870213,2.772029,2.934304
2.9100,2.879682,2.781526,2.943804
2.9200,2.889148,2.791057,2.953280
2.9300,2.898611,2.800551,2.962799
2.9400,2.908072,2.810075,2.972275
2.9500,2.917530,2.819561,2.981788
2.9600,2.926985,2.829064,2.991272
2.9700,2.936438,2.838572,3.000750
2.9800,2.945887,2.848058,3.010269
2.9900,2.955335,2.857584,3.019748
3.0000,2.964779,2.867071,3.029279
3.0100,2.974221,2.876591,3.038774
3.0200,2.983660,2.886086,3.048269
3.0300,2.993097,2.895575,3.057805
3.0400,3.002591,2.905101,3.067301
3.0500,3.012249,2.914591,3.076837
3.0600,3.021905,2.924119,3.086334
3.0700,3.031560,2.933609,3.095831
3.0800,3.041214,2.943114,3.105368
3.0900,3.050866,2.952628,3.114866
3.1000,3.060517,2.962119,3.124404
3.1100,3.070166,2.971648,3.133903
3.1200,3.079815,2.981140,3.143408
3.1300,3.089461,2.990662,3.152940
3.1400,3.099107,3.000163,3.162440
3.1500,3.108751,3.009666,3.171979
3.1600,3.118393,3.019206,3.181480
3.1700,3.128035,3.028709,3.191000
3.1800,3.137675,3.038250,3.200521
3.1900,3.147313,3.047753,3.210022
3.2000,3.156950,3.057268,3.219563
3.2100,3.166586,3.066799,3.229067
3.2200,3.176221,3.076304,3.238604
3.2300,3.185854,3.085847,3.248115
3.2400,3.195485,3.095352,3.257621
3.2500,3.205116,3.104881,3.267165
3.2600,3.214745,3.114402,3.276671
3.2700,3.224373,3.123908,3.286216
3.2800,3.233999,3.133453,3.295723
3.2900,3.243624,3.142960,3.305242
3.3000,3.253247,3.152502,3.314776
3.3100,3.262869,3.162013,3.324284
3.3200,3.272490,3.171524,3.333831
3.3300,3.282110,3.181067,3.343339
3.3400,3.291728,3.190576,3.352872
3.3500,3.301345,3.200123,3.362396
3.3600,3.310960,3.209634,3.371905
3.3700,3.320574,3.219158,3.381454
3.3800,3.330187,3.228693,3.390964
3.3900,3.339798,3.238205,3.400510
3.4000,3.349408,3.247754,3.410024
3.4100,3.359017,3.257267,3.419537
3.4200,3.368624,3.266804,3.429076
3.4300,3.378230,3.276330,3.438582
3.4400,3.387835,3.285844,3.448114
